Name,Phys,Str,Sls,Thr,Mag,Fire,Light,Dark,Poise,Poison,Bleed,Petrify,Curse,Dur,Weight,Scaling,Prerequisite,Reinforcement,Effect,Def/Weight,Poise/Weight,Mag/Weight,Total Defense,Total Def/Weight
Wanderer Hood,23,22,23,24,8,10,11,8,0,9,14,0,0,50,1.4,E,,Titanite,,16.43,0,6.61,106,75.71
Wanderer Hood+10,46,44,47,47,15,20,22,16,0,17,28,0,0,50,1.4,E,,Titanite,,32.86,0,13.04,211,150.71
Warlock Mask,26,30,24,24,36,17,24,36,4,19,19,24,60,50,4.8,E,14 INT,Titanite,Souls Aquired & INT+1,5.42,0.83,5.89,191,39.79
Warlock Mask+10,52,59,48,48,72,33,48,72,4,38,38,47,120,50,4.8,E,14 INT,Titanite,Souls Aquired & INT+1,10.83,0.83,11.72,380,79.17
White Hollow Mage Hood,34,35,33,33,26,20,21,23,0,13,13,19,19,50,1.8,E,,Titanite, INT+1 (Set),18.89,0,12.5,191,106.11
White Hollow Mage Hood+10,67,70,66,66,56,41,43,47,0,27,25,38,38,50,1.8,E,,Titanite, INT+1 (Set),37.22,0,25.97,389,216.11
White Priest Headset,23,25,23,23,14,14,18,16,0,10,9,9,9,50,1.4,E,,Titanite,Faith+1,16.43,0,11.07,133,95
White Priest Headset+10,47,49,46,46,28,28,37,31,0,10,9,9,9,50,1.4,E,,Titanite,Faith+1,33.57,0,22.14,265,189.29
Xanthous Crown,67,116,67,44,16,5,11,15,0,7,7,0,83,60,5,E,,Twinkling Titanite,,13.4,0,2.35,274,54.8
Xanthous Crown+5,100,174,100,66,24,7,16,22,0,11,10,0,125,60,5,E,,Twinkling Titanite,,20,0,3.45,409,81.8
